,HDifHor,HDirNor,HGloHor,HHorIR,TBlaSky,TDewPoi,TDryBul,TWetBul,ceiHei,cloTim,nOpa,nTot,relHum,solAlt,solDec,solHouAng,solTim,solZen,winDir,winSpe,lat,lon,pAtm
0.0,0.0,0.0,0.0,218.0,249.15567016601562,257.04998779296875,260.95001220703125,260.1747741699219,2740.0,0.0,0.8999999761581421,0.8999999761581421,0.7300000190734863,-1.2405470609664917,-0.40288612246513367,-3.121027708053589,282.78759765625,2.8113434314727783,4.71238899230957,2.5999999046325684,0.7326892018318176,-1.5344934463500977,101325.0
3600.0,0.0,0.0,0.0,221.22129062321633,249.99579714422356,257.6207640486765,261.56966536012413,260.7490271999411,2758.618816218964,3600.0,0.9057077400760564,0.9057077400760564,0.7286073252490667,-1.1805876197131802,-0.40283114296388406,-2.8593096597009597,3881.669093580551,2.751383989368944,4.443417017862677,2.4515980835918967,0.7326892018318176,-1.5344934463500977,101325.0
7200.0,0.0,0.0,0.0,224.44258124643264,250.8359241224315,258.19154030438426,262.189318513217,261.3232802299604,2777.237632437928,7200.0,0.9114155039939706,0.9114155039939706,0.7272146314246469,-1.1206281784598686,-0.4027761634626345,-2.5975916113483306,7480.550589504852,2.6914245472651093,4.174445043415783,2.303196262551225,0.7326892018318176,-1.5344934463500977,101325.0
10800.0,0.0,0.0,0.0,227.66387186964897,251.67605110063946,258.762316560092,262.80897166630996,261.89753325997964,2795.856448656892,10800.0,0.9171232679118849,0.9171232679118849,0.7258219376002273,-1.060668737206557,-0.4027211839613849,-2.335873562995702,11079.432085429153,2.6314651051612747,3.9054730689688903,2.1547944415105533,0.7326892018318176,-1.5344934463500977,101325.0
14400.0,0.0,0.0,0.0,230.8851624928653,252.5161780788474,259.3330928157998,263.42862481940284,262.47178628999893,2814.4752648758563,14400.0,0.9228310318297992,0.9228310318297992,0.7244292437758075,-1.0007092959532455,-0.40266620446013535,-2.0741555146430724,14678.313581353454,2.5715056630574407,3.6365010945219973,2.0063926204698816,0.7326892018318176,-1.5344934463500977,101325.0
18000.0,0.0,0.0,0.0,234.1064531160816,253.35630505705532,259.9038690715076,264.0482779724957,263.04603932001817,2833.09408109482,18000.0,0.9285387957477134,0.9285387957477134,0.7230365499513879,-0.940749854699934,-0.40261122495888574,-1.8124374662904437,18277.195077277753,2.511546220953606,3.367529120075104,1.85799079942921,0.7326892018318176,-1.5344934463500977,101325.0
21600.0,0.0,0.0,0.0,237.32774373929794,254.19643203526326,260.47464532721534,264.6679311255886,263.62029235003746,2851.712897313784,21600.0,0.9342465596656276,0.9342465596656276,0.7216438561269681,-0.8807904134466225,-0.4025562454576362,-1.5507194179378145,21876.076573202055,2.4515867788497716,3.0985571456282104,1.709588978388538,0.7326892018318176,-1.5344934463500977,101325.0
25200.0,0.0,0.0,0.0,240.54903436251428,255.03655901347122,261.0454215829231,265.2875842786815,264.1945453800567,2870.3317135327484,25200.0,0.9399543235835419,0.9399543235835419,0.7202511623025485,-0.8208309721933108,-0.4025012659563866,-1.2890013695851854,25474.958069126355,2.391627336745937,2.8295851711813174,1.5611871573478664,0.7326892018318176,-1.5344934463500977,101325.0
28800.0,0.0,0.0,0.0,243.77032498573058,255.87668599167915,261.61619783863085,265.9072374317744,264.768798410076,2888.9505297517126,28800.0,0.9456620875014562,0.9456620875014562,0.7188584684781288,-0.7608715309399993,-0.402446286455137,-1.0272833212325563,29073.839565050657,2.3316678946421026,2.560613196734424,1.4127853363071947,0.7326892018318176,-1.5344934463500977,101325.0
32400.0,0.0,0.0,0.0,246.99161560894692,256.7168129698871,262.1869740943386,266.5268905848673,265.3430514400952,2907.5693459706763,32400.0,0.9513698514193705,0.9513698514193705,0.7174657746537091,-0.7009120896866877,-0.4023913069538874,-0.7655652728799272,32672.721060974956,2.2717084525382685,2.291641222287531,1.264383515266523,0.7326892018318176,-1.5344934463500977,101325.0
36000.0,0.0,0.0,0.0,250.21290623216325,257.556939948095,262.75775035004636,267.1465437379602,265.9173044701145,2926.1881621896405,36000.0,0.9570776153372847,0.9570776153372847,0.7160730808292894,-0.6409526484333762,-0.4023363274526378,-0.5038472245272985,36271.602556899255,2.211749010434434,2.0226692478406374,1.1159816942258514,0.7326892018318176,-1.5344934463500977,101325.0
39600.0,0.0,0.0,0.0,253.43419685537955,258.39706692630295,263.3285266057541,267.7661968910531,266.49155750013375,2944.8069784086047,39600.0,0.962785379255199,0.962785379255199,0.7146803870048697,-0.5809932071800646,-0.40228134795138826,-0.24212917617466934,39870.48405282356,2.1517895683305994,1.7536972733937444,0.9675798731851797,0.7326892018318176,-1.5344934463500977,101325.0
43200.0,0.0,0.0,0.0,256.6554874785959,259.2371939045109,263.8993028614619,268.38585004414597,267.06581053015304,2963.4257946275684,43200.0,0.9684931431731133,0.9684931431731133,0.71328769318045,-0.5210337659267531,-0.40222636845013865,0.019588872177959793,43469.36554874786,2.091830126226765,1.484725298946851,0.8191780521445078,0.7326892018318176,-1.5344934463500977,101325.0
46800.0,0.0,0.0,0.0,259.8767781018122,260.0773208827189,264.4700791171697,269.00550319723885,267.6400635601723,2982.0446108465326,46800.0,0.9742009070910276,0.9742009070910276,0.7118949993560303,-0.46107432467344156,-0.4021713889488891,0.2813069205305889,47068.247044672156,2.0318706841229304,1.2157533244999574,0.6707762311038361,0.7326892018318176,-1.5344934463500977,101325.0
50400.0,0.0,0.0,0.0,263.09806872502855,260.9174478609268,265.04085537287745,269.62515635033174,268.2143165901916,3000.6634270654968,50400.0,0.9799086710089417,0.9799086710089417,0.7105023055316106,-0.4011148834201299,-0.4021164094476395,0.543024968883218,50667.12854059646,1.9719112420190958,0.9467813500530644,0.5223744100631644,0.7326892018318176,-1.5344934463500977,101325.0
54000.0,0.0,0.0,0.0,266.31935934824486,261.75757483913475,265.6116316285852,270.2448095034247,268.7885696202108,3019.2822432844605,54000.0,0.985616434926856,0.985616434926856,0.7091096117071909,-0.34115544216681837,-0.40206142994638994,0.8047430172358472,54266.01003652076,1.9119517999152615,0.6778093756061709,0.37397258902249275,0.7326892018318176,-1.5344934463500977,101325.0
57600.0,0.0,0.0,0.0,269.54064997146116,262.5977018173427,266.18240788429296,270.86446265651756,269.3628226502301,3037.9010595034247,57600.0,0.9913241988447703,0.9913241988447703,0.7077169178827712,-0.2811960009135068,-0.40200645044514033,1.0664610655884763,57864.891532445065,1.8519923578114272,0.40883740115927747,0.22557076798182107,0.7326892018318176,-1.5344934463500977,101325.0
61200.0,0.0,0.0,0.0,272.7619405946775,263.4378287955506,266.7531841400007,271.48411580961044,269.93707568024934,3056.519875722389,61200.0,0.9970319627626846,0.9970319627626846,0.7063242240583516,-0.2212365596601953,-0.4019514709438908,1.328179113941105,61463.77302836936,1.7920329157075927,0.1398654267123849,0.0771689469411494,0.7326892018318176,-1.5344934463500977,101325.0
64800.0,4.312579011263913,0.042191779776795266,4.30943277437393,274.837239304634,263.96310717438996,267.08017762066567,271.8897236863228,270.2974255705533,3048.985920109161,64800.0,1.0,1.0,0.7032589585813758,-0.17343169022096347,-0.4018946657442067,1.5898974562344486,65062.65876498288,1.7442280462343398,0.08624832597497392,0.09850737166731326,0.7326892018318176,-1.5344934463500977,101325.0
68400.0,13.297118618063731,0.13009132097845208,13.287417720986284,275.67104677522565,264.14729957058006,267.14307309503425,272.06344918028947,270.42604705949896,3013.1197950110586,68400.0,1.0,1.0,0.6983817404807975,-0.13879427358031818,-0.4018358827045519,1.851616116963565,68661.54909567637,1.7095906304442174,0.26593233842283626,0.3037310626408825,0.7326892018318176,-1.5344934463500977,101325.0
72000.0,22.28165822486355,0.21799086218010888,22.26540266759864,276.5048542458173,264.3314919667701,267.20596856940284,272.2371746742562,270.5546685484446,2977.2536699129564,72000.0,1.0,1.0,0.6935045223802192,-0.10415685693967289,-0.4017770996648971,2.113334777692682,72260.43942636986,1.674953214654095,0.44561635087069856,0.5089547536144519,0.7326892018318176,-1.5344934463500977,101325.0
75600.0,31.266197831663366,0.3058904033817657,31.24338761421099,277.3386617164089,264.5156843629602,267.26886404377143,272.41090016822295,270.6832900373903,2941.3875448148547,75600.0,1.0,1.0,0.6886273042796409,-0.06951944029902758,-0.4017183166252424,2.3750534384217983,75859.32975706336,1.6403157988639727,0.6253003633185609,0.714178444588021,0.7326892018318176,-1.5344934463500977,101325.0
79200.0,40.25073743846318,0.3937899445834225,40.22137256082335,278.17246918700056,264.69987675915024,267.33175951813996,272.58462566218964,270.81191152633596,2905.5214197167525,79200.0,1.0,1.0,0.6837500861790626,-0.034882023658382305,-0.4016595335855876,2.6367720991509147,79458.22008775685,1.6056783830738504,0.8049843757664232,0.9194021355615903,0.7326892018318176,-1.5344934463500977,101325.0
82800.0,49.235277045263004,0.4816894857850793,49.1993575074357,279.0062766575922,264.88406915534034,267.39465499250855,272.7583511561564,270.94053301528163,2869.6552946186503,82800.0,1.0,1.0,0.6788728680784843,-0.0002446070177370141,-0.4016007505459328,2.898490759880031,83057.11041845035,1.571040967283728,0.9846683882142856,1.1246258265351596,0.7326892018318176,-1.5344934463500977,101325.0
